letter_number,amount
"1608",23119
"1612",17633
"1599",17633
"1594",21368
"1592",33847
"1585",11579
"1699",13403
"1578",496
"1577",4215
"1580",18301
"1574",113268
"1614",8903
"1613",12584
"1616",9617
"1615",8474
"2808",63675
"1589",9194
"1587",34349
"1586",3627
"1591",2413
"1590",3066
"1583",19944
"1698",12890
"1697",12890
"1576",83238
"1575",85043
"1582",4863
"1581",4693
"1700",2052
"1573",1467
"1622",13390
"1621",23119
"1620",5752
"1619",11625
"1618",3600
"1617",8181
"2809",80832
"1644",14627
"1645",4632
"1633",5752
"1637",833
"1641",75258
"1640",11229
"1638",115169
"1642",16358
"1626",12584
"1625",17633
"1624",148531
"2773",87248
"1630",8181
"1629",9617
"1628",8474
"1632",11625
"1631",3600
"1687",3042
"1564",2717
"1569",46680
"2885",212582
"1572",4776
"1556",4863
"1558",29771
"1562",85043
"1543",54184
"1547",15368
"1546",6539
"1550",39903
"1538",2721
"1537",36896
"1656",850
"1540",34299
"1539",112260
"1610",6752
"1603",9617
"1607",5752
"1606",11625
"1605",3600
"1604",8181
"1600",12584
"1598",148531
"1602",8474
"1601",8903
"1595",2974
"1593",9870
"1636",6752
"1635",13390
"1634",23119
"1623",6752
"1627",8903
"1567",2388
"1571",25235
"1570",64041
"1568",2388
"1563",4086
"1553",10156
"1559",1289
"1557",29880
"1561",14015
"1552",1398422.08
"2892",8539
"1658",2690
"2854",1440
"2806",3925
"2776",4675
"2838",36900
"2825",11969
"2911",38023
"2879",31071
"2820",11459
"2835",23427
"2824",1429
"2856",42370
"2870",1479867
"2900",14000
"2771",1800
"2792",19200
"2814",4532
"2828",9912
"2886",139631
"1579",13403
"1532",57120
"2877",274125
"2871",1440
"1566",37752
"1554",1896
"2851",7828
"1560",2336
"1545",58891
"2898",4011
"2903",1217.89
"1551",8462
"1534",17818
"1533",52967
"2874",13275
"2797",67050
"2853",5879
"2895",5522
"2794",35397
"2793",12950
"2873",3224
"1535",1860
"2819",2206
"2849",7962
"1584",13066
"2790",136302
"2760",129876
